trade_date,exchange_id,rzye,rzmre,rzche,rqye,rqmcl,rzrqye,rqyl
20251218,SSE,1255433608103.0,79535322541.0,83848137848.0,11210689149.0,58913534.0,1266644297252.0,2431757245.0
20251218,BSE,7715312386.0,731494515.0,2214690921.0,294935.0,2054.0,7715607321.0,12445.0
20251217,SZSE,1218379420179.0,97195079537.0,98116269295.0,5725446814.0,25780875.0,1224104866993.0,742626497.0
20251217,SSE,1259774699017.0,86400893642.0,87601492251.0,11239788760.0,108244627.0,1271014487777.0,2436082942.0
20251217,BSE,7726607527.0,772047256.0,2215717749.0,246897.0,0.0,7726854424.0,10391.0
20251216,SZSE,1219315393334.0,86400962303.0,92425967791.0,5651143457.0,22165252.0,1224966536791.0,743814175.0
20251216,SSE,1261042135620.0,91008480705.0,85433466064.0,11069092787.0,50226794.0,1272111228407.0,2422435668.0
20251216,BSE,7757077797.0,878283039.0,2323637329.0,349933.0,4908.0,7757427730.0,15399.0
20251215,SZSE,1225356270258.0,91896925831.0,90162053341.0,5769668078.0,17812607.0,1231125938336.0,748432423.0
20251215,SSE,1255499323207.0,84474493217.0,81335290756.0,11325818178.0,55983252.0,1266825141385.0,2437842377.0
20251215,BSE,7718276270.0,783893479.0,2226283476.0,250633.0,228.0,7718526903.0,10491.0
20251212,SZSE,1223647189083.0,104659544586.0,106419272014.0,5813382740.0,14710157.0,1229460571823.0,748979167.0
20251212,SSE,1252369646071.0,89102959662.0,93712070915.0,11858586110.0,50599833.0,1264228232181.0,2522964410.0
20251212,BSE,7714704009.0,1068260687.0,2469969697.0,249788.0,900.0,7714953797.0,10263.0
20251211,SZSE,1225414043748.0,101779030331.0,106511950545.0,5830343596.0,25518116.0,1231244387344.0,769295539.0
20251211,SSE,1257022621848.0,82784563113.0,84424942026.0,12005562207.0,63531624.0,1269028184055.0,2574723609.0
20251211,BSE,7709203533.0,1167527974.0,2507964446.0,235479.0,0.0,7709439012.0,9363.0
20251210,SZSE,1230156406328.0,99053781896.0,95696112665.0,5848823607.0,29861124.0,1236005229935.0,764713306.0
20251210,SSE,1258675029684.0,80856193274.0,80726077568.0,12034005651.0,86074668.0,1270709035335.0,2557255656.0
20251210,BSE,7574081204.0,521397634.0,1841671036.0,232296.0,0.0,7574313500.0,9363.0
20251209,SZSE,1226809723093.0,112297710805.0,106189973487.0,5818349789.0,17197888.0,1232628072882.0,755093766.0
20251209,SSE,1258550150923.0,89526767479.0,85416370081.0,11857654459.0,68339189.0,1270407805382.0,2530196443.0
20251209,BSE,7536026685.0,582334269.0,2016195891.0,436299.0,0.0,7536462984.0,16622.0
20251208,SZSE,1220714201038.0,124182424418.0,113755129473.0,5811500714.0,29649843.0,1226525701752.0,759164185.0
20251208,SSE,1254466290886.0,103180191947.0,94998841984.0,11960306051.0,52969429.0,1266426596937.0,2517361739.0
20251208,BSE,7562045237.0,656284445.0,2158681180.0,442870.0,0.0,7562488107.0,16622.0
20251205,SZSE,1210309869247.0,94440556321.0,95462829794.0,5718925794.0,16885316.0,1216028795041.0,761041888.0
20251205,SSE,1246300715403.0,83814900493.0,85124025480.0,11845199886.0,59269270.0,1258145915289.0,2540088025.0
20251205,BSE,7500310927.0,502852372.0,2014336042.0,534607.0,0.0,7500845534.0,24622.0
20251204,SZSE,1211357257707.0,83360720089.0,82666786905.0,5642198204.0,23300404.0,1216999455911.0,762757646.0
20251204,SSE,1247616304027.0,70139375844.0,69503241980.0,11737787385.0,44465440.0,1259354091412.0,2556556265.0
